insecticide,surface,repnum,total mosquitoes,filename,num_mos,month,strain,hours,mort_pcent,miscount,species,resistance
deltamethrin,cement,1,10,Results for 1 months post spray/cayman 15th nov 16.xlsx,10,1,cayman,0.5,30,0,A. aegypti,resistant
deltamethrin,cement,2,10,Results for 1 months post spray/cayman 15th nov 16.xlsx,10,1,cayman,0.5,40,0,A. aegypti,resistant
deltamethrin,cement,3,12,Results for 1 months post spray/cayman 15th nov 16.xlsx,12,1,cayman,0.5,33.33333333,0,A. aegypti,resistant
control,mud,1,10,Results for 1 months post spray/cayman 15th nov 16.xlsx,10,1,cayman,0.5,0,0,A. aegypti,resistant
control,mud,2,8,Results for 1 months post spray/cayman 15th nov 16.xlsx,8,1,cayman,0.5,0,0,A. aegypti,resistant
control,mud,3,11,Results for 1 months post spray/cayman 15th nov 16.xlsx,11,1,cayman,0.5,0,0,A. aegypti,resistant
deltamethrin,mud,1,9,Results for 1 months post spray/cayman 15th nov 16.xlsx,9,1,cayman,0.5,44.44444444,0,A. aegypti,resistant
deltamethrin,mud,2,11,Results for 1 months post spray/cayman 15th nov 16.xlsx,11,1,cayman,0.5,18.18181818,0,A. aegypti,resistant
deltamethrin,mud,3,10,Results for 1 months post spray/cayman 15th nov 16.xlsx,10,1,cayman,0.5,0,0,A. aegypti,resistant
control,wood,1,11,Results for 1 months post spray/fANG 17th nov 16.xlsx,11,1,fang,0.5,18.18181818,0,An. funestus,susceptible
control,wood,2,9,Results for 1 months post spray/fANG 17th nov 16.xlsx,9,1,fang,0.5,0,0,An. funestus,susceptible
control,wood,3,9,Results for 1 months post spray/fANG 17th nov 16.xlsx,9,1,fang,0.5,0,0,An. funestus,susceptible
deltamethrin,wood,1,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,wood,2,8,Results for 1 months post spray/fANG 17th nov 16.xlsx,8,1,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,wood,3,11,Results for 1 months post spray/fANG 17th nov 16.xlsx,11,1,fang,0.5,90.90909091,0,An. funestus,susceptible
control,cement,1,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,10,0,An. funestus,susceptible
control,cement,2,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,10,0,An. funestus,susceptible
control,cement,3,11,Results for 1 months post spray/fANG 17th nov 16.xlsx,11,1,fang,0.5,9.090909091,0,An. funestus,susceptible
deltamethrin,cement,1,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,cement,2,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,cement,3,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,100,0,An. funestus,susceptible
control,mud,1,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,0,0,An. funestus,susceptible
control,mud,2,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,0,0,An. funestus,susceptible
control,mud,3,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,0,0,An. funestus,susceptible
deltamethrin,mud,1,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,mud,2,9,Results for 1 months post spray/fANG 17th nov 16.xlsx,9,1,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,mud,3,10,Results for 1 months post spray/fANG 17th nov 16.xlsx,10,1,fang,0.5,100,0,An. funestus,susceptible
control,wood,1,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,0,0,An. funestus,resistant
control,wood,2,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,0,0,An. funestus,resistant
control,wood,3,9,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,9,1,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,wood,1,9,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,9,1,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,wood,2,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,wood,3,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,0,0,An. funestus,resistant
control,cement,1,8,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,8,1,fumoz,0.5,0,0,An. funestus,resistant
control,cement,2,11,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,11,1,fumoz,0.5,0,0,An. funestus,resistant
control,cement,3,11,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,11,1,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,cement,1,9,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,9,1,fumoz,0.5,22.22222222,0,An. funestus,resistant
deltamethrin,cement,2,9,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,9,1,fumoz,0.5,11.11111111,0,An. funestus,resistant
deltamethrin,cement,3,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,20,0,An. funestus,resistant
control,mud,1,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,0,0,An. funestus,resistant
control,mud,2,9,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,9,1,fumoz,0.5,0,0,An. funestus,resistant
control,mud,3,10,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,10,1,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,mud,1,9,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,9,1,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,mud,2,11,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,11,1,fumoz,0.5,9.090909091,0,An. funestus,resistant
deltamethrin,mud,3,11,Results for 1 months post spray/Fumoz 17th nov 16.xlsx,11,1,fumoz,0.5,0,0,An. funestus,resistant
control,wood,1,11,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,11,1,kisumu,0.5,0,0,An. gambiae,susceptible
control,wood,2,11,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,11,1,kisumu,0.5,0,0,An. gambiae,susceptible
control,wood,3,11,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,11,1,kisumu,0.5,0,0,An. gambiae,susceptible
